k: 00000000000000000000, amp: 0j
k: 00000001000000000000, amp: 0j
k: 00000000000000000010, amp: 0j
k: 00000001000000000010, amp: 0j
k: 00000000010000000000, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000001010000000000, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000000010000000010, amp: 0j
k: 00000001010000000010, amp: 0j
k: 00000000100000000000, amp: 0j
k: 00000001100000000000, amp: 0j
k: 00000000100000000010, amp: 0j
k: 00000001100000000010, amp: 0j
k: 00000000110000000000, amp: (0.24999999999999983+0j)
k: 00000001110000000000, amp: (0.24999999999999983+0j)
k: 00000000110000000010, amp: 0j
k: 00000001110000000010, amp: 0j
k: 00000000001000000000, amp: 0j
k: 00000001001000000000, amp: 0j
k: 00000000001000000010, amp: 0j
k: 00000001001000000010, amp: 0j
k: 00000000011000000000, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000001011000000000, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000000011000000010, amp: 0j
k: 00000001011000000010, amp: 0j
k: 00000000101000000000, amp: 0j
k: 00000001101000000000, amp: 0j
k: 00000000101000000010, amp: 0j
k: 00000001101000000010, amp: 0j
k: 00000000111000000000, amp: (0.24999999999999983+0j)
k: 00000001111000000000, amp: (0.24999999999999983+0j)
k: 00000000111000000010, amp: 0j
k: 00000001111000000010, amp: 0j
k: 00000000000000000001, amp: 0j
k: 00000001000000000001, amp: 0j
k: 00000000000000000011, amp: 0j
k: 00000001000000000011, amp: 0j
k: 00000000010000000001, amp: -0.24999999999999983j
k: 00000001010000000001, amp: -0.24999999999999983j
k: 00000000010000000011, amp: 0j
k: 00000001010000000011, amp: 0j
k: 00000000100000000001, amp: 0j
k: 00000001100000000001, amp: 0j
k: 00000000100000000011, amp: 0j
k: 00000001100000000011, amp: 0j
k: 00000000110000000001, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000001110000000001, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000000110000000011, amp: 0j
k: 00000001110000000011, amp: 0j
k: 00000000001000000001, amp: 0j
k: 00000001001000000001, amp: 0j
k: 00000000001000000011, amp: 0j
k: 00000001001000000011, amp: 0j
k: 00000000011000000001, amp: -0.24999999999999983j
k: 00000001011000000001, amp: -0.24999999999999983j
k: 00000000011000000011, amp: 0j
k: 00000001011000000011, amp: 0j
k: 00000000101000000001, amp: 0j
k: 00000001101000000001, amp: 0j
k: 00000000101000000011, amp: 0j
k: 00000001101000000011, amp: 0j
k: 00000000111000000001, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000001111000000001, amp: (-0.17677669529663675+0.17677669529663675j)
k: 00000000111000000011, amp: 0j
k: 00000001111000000011, amp: 0j
k: 00000000000000100000, amp: 0j
k: 00000001000000100000, amp: 0j
k: 00000000000000100010, amp: 0j
k: 00000001000000100010, amp: 0j
k: 00000000010000100000, amp: 0j
k: 00000001010000100000, amp: 0j
k: 00000000010000100010, amp: 0j
k: 00000001010000100010, amp: 0j
k: 00000000100000100000, amp: 0j
k: 00000001100000100000, amp: 0j
k: 00000000100000100010, amp: 0j
k: 00000001100000100010, amp: 0j
k: 00000000110000100000, amp: 0j
k: 00000001110000100000, amp: 0j
k: 00000000110000100010, amp: 0j
k: 00000001110000100010, amp: 0j
k: 00000000001000100000, amp: 0j
k: 00000001001000100000, amp: 0j
k: 00000000001000100010, amp: 0j
k: 00000001001000100010, amp: 0j
k: 00000000011000100000, amp: 0j
k: 00000001011000100000, amp: 0j
k: 00000000011000100010, amp: 0j
k: 00000001011000100010, amp: 0j
k: 00000000101000100000, amp: 0j
k: 00000001101000100000, amp: 0j
k: 00000000101000100010, amp: 0j
k: 00000001101000100010, amp: 0j
k: 00000000111000100000, amp: 0j
k: 00000001111000100000, amp: 0j
k: 00000000111000100010, amp: 0j
k: 00000001111000100010, amp: 0j
k: 00000000000000100001, amp: 0j
k: 00000001000000100001, amp: 0j
k: 00000000000000100011, amp: 0j
k: 00000001000000100011, amp: 0j
k: 00000000010000100001, amp: 0j
k: 00000001010000100001, amp: 0j
k: 00000000010000100011, amp: 0j
k: 00000001010000100011, amp: 0j
k: 00000000100000100001, amp: 0j
k: 00000001100000100001, amp: 0j
k: 00000000100000100011, amp: 0j
k: 00000001100000100011, amp: 0j
k: 00000000110000100001, amp: 0j
k: 00000001110000100001, amp: 0j
k: 00000000110000100011, amp: 0j
k: 00000001110000100011, amp: 0j
k: 00000000001000100001, amp: 0j
k: 00000001001000100001, amp: 0j
k: 00000000001000100011, amp: 0j
k: 00000001001000100011, amp: 0j
k: 00000000011000100001, amp: 0j
k: 00000001011000100001, amp: 0j
k: 00000000011000100011, amp: 0j
k: 00000001011000100011, amp: 0j
k: 00000000101000100001, amp: 0j
k: 00000001101000100001, amp: 0j
k: 00000000101000100011, amp: 0j
k: 00000001101000100011, amp: 0j
k: 00000000111000100001, amp: 0j
k: 00000001111000100001, amp: 0j
k: 00000000111000100011, amp: 0j
k: 00000001111000100011, amp: 0j
